index	subsystem	commit	upstream_commit	android_commit	subject	CVE	Fixes	security	correctness	memory_safety	key_lifetime	credential_lifetime	inline_crypto	FBE_relevance	metadata_encryption_relevance	existing_user0_relevance	dependencies	KABI_dependency	vendor_dependency	already_present	applicable	risk	recommended	status	reason
1	FSCRYPT	cfe27f8aff2ed8b2576bc9a5161113dc45ed929d	b41c1d8d07906786c60893980d52688f31d114a6	cfe27f8aff2ed8b2576bc9a5161113dc45ed929d	fscrypt: Don't use problematic non-inline crypto engines		b30ab0e03407	NO	YES	NO	YES	NO	NO	MEDIUM	LOW	MEDIUM		NO	NO	YES	YES	LOW	ALREADY_PRESENT	ALREADY_PRESENT	Phase 1 commit 2895e19ff078; inline hardware crypto behavior is unchanged
2	FSCRYPT	97a688563be71ec6fefc071aff69a66c69dbe244	10c6bb1a9938	ed9f54727ab32304aaa43ac8ad777e75ab0747d4	fscrypt: Avoid dynamic allocation in fscrypt_get_devices()	CVE-2026-68147		YES	YES	YES	YES	NO	YES	HIGH	HIGH	HIGH	Android backport plus OOS reserved-slot adaptation	YES	NO	YES	YES	HIGH	ALREADY_PRESENT	ALREADY_PRESENT	Phase 1 commits b6baf61f012e 9efa70c2122c and 594ae87e5bbe; physical FBE canary passed
3	FSCRYPT	deff41898a5ae3a47db5fa1896a494aa95efda5d			fscrypt: Add missing superblock check in find_or_insert_direct_key()	CVE-2026-68148		YES	YES	YES	YES	NO	NO	MEDIUM	LOW	MEDIUM		NO	NO	YES	YES	MEDIUM	ALREADY_PRESENT	ALREADY_PRESENT	Phase 1 commit 3414c263d56f
4	FSCRYPT	6a67c460b12315033268dce597546984fe5739e7			fscrypt: use the mount idmap for the owner check in fscrypt_ioctl_set_policy()	CVE-2026-74595		YES	YES	NO	NO	YES	NO	LOW	LOW	LOW		NO	NO	YES	YES	LOW	ALREADY_PRESENT	ALREADY_PRESENT	Phase 1 commit ce53225ad0f7
5	FSCRYPT	6a379f037a29b228644ddcfcd7db0e99d8e24767	dd015b566d505d698386103e9c80b739c7336eb8	6a379f037a29b228644ddcfcd7db0e99d8e24767	BACKPORT: fscrypt: Fix key setup in edge case with multiple data unit sizes		5b1188847180	NO	YES	NO	YES	NO	YES	HIGH	MEDIUM	HIGH	Android HW-wrapped-key conflict resolution plus local generation-5 layout preservation	YES	NO	YES	YES	HIGH	MUST_BACKPORT	PHYSICAL_FBE_CANARY_PASS	Backported as dbb2a6c1df7f with separate real-layout adaptation ad4ab6465d99; TWRP and Android existing-user0 physical canary passed 2026-09-11
6	FSCRYPT	89ffa47ebb4b594af723bd02370a212dbac525bf	696c030e1e3438955aba443b308ee8b6faa3983e	89ffa47ebb4b594af723bd02370a212dbac525bf	UPSTREAM: fscrypt: Replace mk_users keyring with simple list		23c688b54016	NO	YES	NO	YES	NO	NO	LOW	LOW	LOW	None for selected fixes	NO	NO	NO	YES	MEDIUM	OPTIONAL	DEFERRED	Removes redundant keyring locking and lockdep false positives; no selected security fix depends on it
7	BLK_CRYPTO	1f0f07fd8f4130852022297aa5e68df6780ccc25	0b39ca457241aeca07a613002512573e8804f93a	1f0f07fd8f4130852022297aa5e68df6780ccc25	blk-crypto: use BLK_STS_INVAL for alignment errors			NO	YES	NO	NO	NO	YES	MEDIUM	MEDIUM	MEDIUM		NO	NO	NO	YES	LOW	SHOULD_BACKPORT	PHYSICAL_PASS	Correctly reports invalid alignment without changing valid inlinecrypt I/O; cumulative ENC-S02/S03 TWRP decrypt and Android existing-user0 canary passed
8	BLK_CRYPTO	c7c6c09cb46f4dba3c581ee71bc8534999a08e80			blk-crypto: fix missing blktrace bio split events			NO	NO	NO	NO	NO	YES	NONE	NONE	NONE		NO	NO	NO	YES	LOW	OPTIONAL	DEFERRED	Tracing-only change has no encrypted-storage correctness effect
9	DEVICE_MAPPER	6ba85d21f2ba8df095d6c4658571e411044d19d6	a996879e5cdb		 dm: avoid leaking the caller's thread keyring via the table device file	CVE-2026-72103		YES	YES	NO	NO	YES	NO	HIGH	HIGH	HIGH	kernel_cred and scoped credential helpers	NO	NO	YES	YES	HIGH	ALREADY_PRESENT	ALREADY_PRESENT	Phase 1 dependency-complete credential series; physical FBE canary passed
10	DEVICE_MAPPER	fd32a2d0c1f31e8410f30aedbcbef63577b1ae96	d6d0e6b9d54532264761405a1ba8ea5bd293acb1	fd32a2d0c1f31e8410f30aedbcbef63577b1ae96	BACKPORT: FROMGIT: dm: fix excessive blk-crypto operations for invalid keys		 e93912786e50	NO	YES	NO	YES	NO	YES	HIGH	HIGH	MEDIUM	dm_derive_sw_secret already present	NO	NO	NO	YES	MEDIUM	MUST_BACKPORT	PHYSICAL_PASS	Stops invalid wrapped keys from being unwrapped on every underlying device; cumulative ENC-S02/S03 TWRP decrypt and Android existing-user0 canary passed
11	DEVICE_MAPPER	e258ecf0c2a8f621ca2d08bbce6ceff4820cc762	7f597c2cdb9d3263a6fce07c4fc0a9eaa8e8fc43	e258ecf0c2a8f621ca2d08bbce6ceff4820cc762	dm: fix queue start/stop imbalance under suspend/load/resume races		e70feb8b3e68	NO	YES	NO	NO	NO	NO	MEDIUM	HIGH	MEDIUM	Must precede related suspend review	REVIEW	NO	NO	YES	MEDIUM	SHOULD_BACKPORT	SELECTED_PENDING	Applicable to DM table load and resume; separate static and FBE canary required
12	DEVICE_MAPPER	19ca4528666990be376ac3eb6fe667b03db5324d	8d33a030c566e1f105cd5bf27f37940b6367f3be	19ca4528666990be376ac3eb6fe667b03db5324d	dm: fix NULL pointer dereference in __dm_suspend()		c4576aed8d85	NO	YES	YES	NO	NO	NO	MEDIUM	HIGH	MEDIUM		NO	NO	NO	YES	MEDIUM	SHOULD_BACKPORT	SELECTED_PENDING	Avoids table-load/suspend NULL dereference; no disk-format effect
