index	commit	upstream_commit	android_commit	subject	CVE	Fixes_tag	subsystem	files	security	corruption	memory_safety	deadlock	race	encryption	performance	on_disk_change	requires_fscrypt_change	requires_block_change	requires_kabi_change	dependencies	already_present	applicable_to_6.12.35	risk	recommended	status
1	4149f0ee5e0850b57d8b91b9f0139f4166a64ba7	a9201960623287927bf5776de3f70fb2fbde7e02		f2fs: don't over-report free space or inodes in statvfs 		ddc34e328d06	F2FS	fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	DO_NOT_BACKPORT	DEFERRED
2	c465f523333ecc5d89934ed03835fbdbfd9e4c14	ba8dac350faf16afc129ce6303ca4feaf083ccb1		f2fs: fix to zero post-eof page 			F2FS	fs/f2fs/file.c	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
3	58330262213aa3fb6b0ec807f6329572902f91ef	fa08972bcb7baaf5f1f4fdf251dc08bdd3ab1cf0		f2fs: decrease spare area for pinned files for zoned devices 			F2FS	fs/f2fs/file.c,fs/f2fs/gc.h,fs/f2fs/segment.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
4	ffbbe11577b7eec86d70a32f3ff0eb42f99f09ea	5bc5aae843128aefb1c55d769d057c92dd8a32c9		f2fs: zone: introduce first_zoned_segno in f2fs_sb_info 			F2FS	fs/f2fs/f2fs.h,fs/f2fs/segment.c,fs/f2fs/segment.h,fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
5	8912b139a8d4b89c39ff1134338fed8f55a0c5a1	dc6d9ef57fcf42fac1b3be4bff5ac5b3f1e8f9f3		f2fs: zone: fix to calculate first_zoned_segno correctly 		9703d69d9d15	F2FS	fs/f2fs/data.c,fs/f2fs/f2fs.h,fs/f2fs/segment.c,fs/f2fs/super.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
6	8b1f1f83e3778fb1f2928bf4e12eefff13f109c6	8142daf8a53806689186ee255cc02f89af7f8890		f2fs: turn off one_time when forcibly set to foreground GC 		9748c2ddea4a	F2FS	fs/f2fs/gc.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
7	334afc40c41c3e24ea9edc0e04764ade4ffec23d	554d9b7242a73d701ce121ac81bb578a3fca538e		f2fs: fix bio memleak when committing super block 		5bcde4557862	F2FS	fs/f2fs/super.c	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S03_STATIC_PASS
8	44a79437309e0ee2276ac17aaedc71253af253a8	154467f4ad033473e5c903a03e7b9bca7df9a0fa		f2fs: fix KMSAN uninit-value in extent_info usage 		94afd6d6e525	F2FS	fs/f2fs/extent_cache.c	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S06_STATIC_PASS
9	46f24b1fbf6bec7d08a55e481243c885920b87d8	10dcaa56ef93f2a45e4c3fec27d8e1594edad110		f2fs: fix to check upper boundary for value of gc_boost_zoned_gc_percent 		9a481a1c16f4	F2FS	fs/f2fs/sysfs.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
10	1f1efc11132a802abaa0d57308cf5cad25009130	7a96d1d73ce9de5041e891a623b722f900651561		f2fs: fix to check upper boundary for gc_valid_thresh_ratio 		e791d00bd06c	F2FS	fs/f2fs/sysfs.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
11	ca525a64bb92107730b422047be31e08387ba54d	a919ae794ad2dc6d04b3eea2f9bc86332c1630cc		f2fs: fix to check upper boundary for gc_no_zoned_gc_percent 		9a481a1c16f4	F2FS	fs/f2fs/sysfs.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	OPTIONAL_REVIEW	DEFERRED
12	dea243f58a8391e76f42ad5eb59ff210519ee772	7c30d79930132466f5be7d0b57add14d1a016bda		f2fs: fix to avoid UAF in f2fs_sync_inode_meta() 		0f18b462b2e5	F2FS	fs/f2fs/inode.c	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S06_STATIC_PASS
13	97df495d754116c8c28ac6a4112f831727bde887	a509a55f8eecc8970b3980c6f06886bbff0e2f68		f2fs: fix to avoid panic in f2fs_evict_inode 		0f18b462b2e5	F2FS	fs/f2fs/inode.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	LOW	MUST_BACKPORT	APPLIED_F2FS_S06_STATIC_PASS
14	70849d33130a2cf1d6010069ed200669c8651fbd	5661998536af52848cc4d52a377e90368196edea		f2fs: fix to avoid out-of-boundary access in devs.path 		3c62be17d4f5	F2FS	fs/f2fs/f2fs.h	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	MEDIUM	MUST_BACKPORT	APPLIED_F2FS_S06_STATIC_PASS
15	0fe7976b62546f1e95eebfe9879925e9aa22b7a8	08a7efc5b02a0620ae16aa9584060e980a69cb55		f2fs: vm_unmap_ram() may be called from an invalid context 		bff139b49d9f	F2FS	fs/f2fs/data.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	YES	LOW	MUST_BACKPORT	APPLIED_F2FS_S06_STATIC_PASS
16	3908f15df598023e8cb9c9dc72ca8f2aa290e75b	6840faddb65683b4e7bd8196f177b038a1e19faf		f2fs: fix to update upper_p in __get_secs_required() correctly 		1acd73edbbfe	F2FS	fs/f2fs/segment.h	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
17	4b069ec86c3322596b15ae16564588a7aa43781e	e194e140ab7de2ce2782e64b9e086a43ca6ff4f2		f2fs: fix to calculate dirty data during has_not_enough_free_secs() 		36abef4e796d	F2FS	fs/f2fs/segment.h	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
18	82765ce5c7a56f9309ee45328e763610eaf11253	1005a3ca28e90c7a64fa43023f866b960a60f791		f2fs: fix to trigger foreground gc during f2fs_map_blocks() in lfs mode 		36abef4e796d	F2FS	fs/f2fs/data.c	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO		FUNCTIONAL_REVIEW_REQUIRED	NOT_YET_TESTED	LOW	SHOULD_BACKPORT	DEFERRED_AFTER_REVIEW
